american brasileira
limits limites
serpent serpente
area área
dialects dialetos
ore minério
narrow estreita
pistol pistola
photograph foto
throat garganta
dies morre
exceptions exceções
retirement aposentadoria
buried enterrado
volunteers voluntários
excluding excluindo
birth nascimento
existing existentes
restoration restauração
buttons botões
people pessoas
hospital hospital
thinking pensando
mediation mediação
austria áustria
ego ego
anarchist anarquista
fi fi
ma ma
scholar estudioso
twelve doze
declared declarado
farmland terrenos
embassy embaixada
inc ltda
ford ford
creature criatura
accepts aceita
porsche porsche
ecclesiastical eclesiástica
dr dr
production produção
depends depende
considerations considerações
improvements melhorias
fat gordura
joined juntou
eclipse eclipse
occasions ocasiões
reduce reduzir
shanghai xangai
cerebral cerebral
swiss suíço
interpretation interpretação
finance finanças
hercules hércules
yves yves
dragon dragão
songs canções
zealand zelândia
weeks semanas
boots botas
→ →
