brasileira american
limites limits
serpente serpent
área area
dialetos dialects
minério ore
estreita narrow
pistola pistol
foto photograph
garganta throat
morre dies
exceções exceptions
aposentadoria retirement
enterrado buried
voluntários volunteers
excluindo excluding
nascimento birth
existentes existing
restauração restoration
botões buttons
pessoas people
hospital hospital
pensando thinking
mediação mediation
áustria austria
ego ego
anarquista anarchist
fi fi
ma ma
estudioso scholar
doze twelve
declarado declared
terrenos farmland
embaixada embassy
ltda inc
ford ford
criatura creature
aceita accepts
porsche porsche
eclesiástica ecclesiastical
dr dr
produção production
depende depends
considerações considerations
melhorias improvements
gordura fat
juntou joined
eclipse eclipse
ocasiões occasions
reduzir reduce
xangai shanghai
cerebral cerebral
suíço swiss
interpretação interpretation
finanças finance
hércules hercules
yves yves
dragão dragon
canções songs
zelândia zealand
semanas weeks
botas boots
→ →
