recorrente recurrente
party party
sendo siendo
referendo referéndum
hoffman hoffman
incidente incidente
unesco unesco
beatriz beatriz
onda onda
enviou envió
francos francos
woods woods
demais demás
deseja desea
meses meses
performance performance
diálogos diálogos
moléculas moléculas
st st
intestino intestino
palavra palabra
trabalhador trabajador
escolhido escogido
conquistas conquistas
xi xi
ele él
fugiram huyeron
ligados vinculados
manifestação manifestación
limites límites
formulação formulación
norueguês noruego
schneider schneider
tecnológica tecnológica
gravado grabado
pensou pensó
bristol bristol
horse horse
norton norton
biblioteca biblioteca
emily emily
escassez escasez
máscara máscara
integrar integrar
começa empieza
reações reacciones
vai va
australiana australiana
saltos saltos
cursos cursos
sofrem sufren
halo halo
evitar evitar
beck beck
teto techo
joan joan
construída construida
respondeu respondió
xii xii
abriram abrieron
sr sr
vermelhos rojos
seleções selecciones
réplica réplica
caíram cayeron
chamas llamas
branco blanco
jardim jardín
etiópia etiopía
coluna columna
kent kent
lições lecciones
abadia abadía
buraco agujero
regional regional
barba barba
terá tendrá
boas buenas
budismo budismo
small small
intermediário intermedio
dura dura
allen allen
ad ad
from from
originou originó
destacou destacó
transmissão transmisión
votações votaciones
ice ice
chamado llamado
legião legión
stock stock
normandia normandía
consideradas consideradas
dirigiu dirigió
atrações atracciones
considera considera
suposto supuesto
representado representado
governo gobierno
servidor servidor
excentricidade excentricidad
supercopa supercopa
conservador conservador
atlético atlético
fundadora fundadora
correspondentes correspondientes
agenda agenda
graves graves
fire fire
acredita cree
colonial colonial
fast fast
sucedidos exitosos
estradas carreteras
amigo amigo
arizona arizona
pertencia pertenecía
próxima próxima
lois lois
clarke clarke
esculturas esculturas
rivalidade rivalidad
caças cazas
armadas armadas
licenciado licenciado
emitiu emitió
delegacia comisaría
segurança seguridad
constituída constituida
décima décima
merece merece
conta cuenta
esperanto esperanto
escadas escaleras
edward edward
birmingham birmingham
disputam disputan
contribuiu contribuyó
braga astorga
guadalupe guadalupe
reconhece reconoce
youth youth
dependem dependen
isolados aislados
border border
percentual porcentaje
desconhecido desconocido
or% or%
telefones teléfonos
vie vie
moinho molino
face cara
emergência emergencia
shannon shannon
competindo compitiendo
repetir repetir
erro error
folk folk
separa separa
seus sus
diferenciar diferenciar
flauta flauta
comprado comprado
derivadas derivadas
trabalhadores trabajadores
indicado nominado
handbook handbook
solid solid
deputados diputados
agostinho agustín
give give
vilões villanos
bento gregorio
hamburgo hamburgo
rogers rogers
gradualmente gradualmente
escritos escritos
vivas vivas
vencida ganada
rápidas rápidas
einstein einstein
morrison morrison
min abr
linear lineal
dueto dueto
esfera esfera
continuaram continuaron
flores flores
presença presencia
padroeira patrona
televisão televisión
pleno pleno
fotografia fotografía
espécies especies
cometidos cometidos
praça plaza
pesquisas investigaciones
treinamento entrenamiento
texas alabama
islâmico islámico
vila villa
vendeu vendió
brandon brandon
clientes clientes
depressão depresión
compras compras
mencionada mencionada
pornô porno
vinhos vinos
decidido decidido
plásticos plásticos
simples simple
toma toma
seguinte siguiente
chá té
joão juan
mobiliário mobiliario
favoráveis favorables
extra extra
aproveitou aprovechó
recebida recibida
aaron aaron
separado separado
sensíveis sensibles
significativo significativo
hegemonia hegemonía
atacada atacada
monge monje
principado principado
força fuerza
cristo cristo
opção opción
navegar navegar
adquire adquiere
bernardino bernardino
points points
durante durante
right right
necessidades necesidades
heróis héroes
ong ong
miss miss
preparados preparados
pertence pertenece
gerar generar
língua lengua
reta recta
ambiental ambiental
lara lara
another another
publicações publicaciones
entrar entrar
despedida despedida
cratera cráter
mauro mauro
turísticas turísticas
ocorridos ocurridos
alemães alemanes
eclesiástico eclesiástico
denúncia denuncia
ministro ministro
incorporação incorporación
escocês escocés
narrativa narración
operado operado
recta periodo_rotación
descobriram descubrieron
preços precios
fury fury
paróquia parroquia
wonder wonder
consistiu consistió
simultaneamente simultáneamente
tecidos tejidos
frias frías
px px
sólidos sólidos
urina orina
discurso discurso
crônicas crónicas
gramas gramos
abade abad
life life
april april
rigor rigor
têxtil textil
leito lecho
juvenis juveniles
mantêm mantienen
espetacular espectacular
ave ave
ix ix
abc abc
apresentando presentando
vídeo vídeo
retratos retratos
doo doo
primeira primera
de de
tais tales
lunar lunar
ventura ventura
independência independencia
africano africano
paulo aires
futebolistas futbolistas
canadense canadiense
france france
mercedes mercedes
adicionar añadir
mussolini mussolini
hóquei hockey
minho extremadura
demonstração demostración
fala habla
mesmos mismos
falar hablar
gaza gaza
informativo informativo
pensando pensando
lançamentos lanzamientos
destruído destruido
reconhecida reconocida
institut institut
durou duró
governantes gobernantes
adiciona añade
enfermeira enfermera
terras tierras
pede pide
m m
meridional meridional
pequenos pequeños
tanzânia tanzania
comentarista comentarista
membrana membrana
capacidades capacidades
pode puede
sítios sitios
adeus adiós
complexo complejo
velocidades velocidades
opositores opositores
criador creador
chamada llamada
pavilhão pabellón
nicarágua nicaragua
célebre célebre
introduziu introdujo
nana nana
metal metal
summer summer
gente gente
operando operando
ocuparam ocuparon
incapaz incapaz
egípcios egipcios
azevedo méndez
datas fechas
trabalhos trabajos
ji ji
information information
químicas químicas
vilão villano
mobilidade movilidad
helen helen
estratégico estratégico
além además
jogam juegan
tiver tenga
emissões emisiones
financeiro financiero
vêem ven
bar bar
vem viene
portador portador
publishing publishing
eleitos electos
intervalos intervalos
elliott elliott
def def
cumpre cumple
musa musa
normas normas
violinista violinista
perseguido perseguido
feiras ferias
florença florencia
integrada integrada
ibm ibm
grave grave
descrição descripción
japonês japonés
nicolau nicolás
destinado destinado
derrotado derrotado
track track
originais originales
atualizar actualizar
campeonato campeonato
expõe expone
histórica histórica
entretenimento entretenimiento
acumulação acumulación
wars wars
funcionar funcionar
romper romper
licenciatura licenciatura
usados usados
queria quería
we we
ocorrer ocurrir
recusaram negaron
seth seth
cinematográfica cinematográfica
claros claros
havido habido
agudo agudo
pudessem pudieran
morto muerto
responder responder
humanidade humanidad
semi semi
decisões decisiones
compressão compresión
dragon dragon
representação representación
destacando destacando
créditos créditos
was was
platão platón
programação programación
publicar publicar
fera bestia
construção construcción
jogaram jugaron
saturno saturno
céus cielos
descrevem describen
comparada comparada
estatutos estatutos
filosófica filosófica
petit petit
warriors warriors
sócio socio
vascular vascular
implantação implantación
acreditava creía
marfim marfil
informar informar
maquiagem maquillaje
nove nueve
cl cl
definitiva definitiva
joaquim melchor
secundário secundario
superar superar
barroca barroca
fábrica fábrica
confundir confundir
expedições expediciones
integrado integrado
pontes puentes
propostas propuestas
secundários secundarios
miranda miranda
potente potente
legal legal
inglaterra inglaterra
bula bula
spike spike
ninguém nadie
eva eva
» »
decidiu decidió
caracteriza caracteriza
coordenação coordinación
não no
editada editada
oeste oeste
martha ruth
crescimento crecimiento
grant grant
magic magic
ártico ártico
east east
embarcou embarcó
poetas poetas
musical musical
operário obrero
pseudônimo seudónimo
turbo turbo
turim turín
preparar preparar
lados lados
mecânica mecánica
mármore mármol
poderão podrán
musicais musicales
gases gases
justificação justificación
integração integración
convidados invitados
perdeu perdió
resistente resistente
possuem poseen
conhecia conocía
viagem viaje
ódio odio
viver vivir
comissões comisiones
imediata inmediata
misto mixto
apaixona enamora
adequado adecuado
capítulo capítulo
co co
esperado esperado
conhecidos conocidos
independentemente independientemente
linguística lingüística
princess princess
territorial territorial
historiador historiador
stan stan
contratação contratación
perder perder
detalhada detallada
variada variada
finalistas finalistas
órbita órbita
bilheteria taquilla
move mueve
mantido mantenido
compreende comprende
situada situada
v v
wales wales
cometer cometer
,b ,b
massa masa
característica característica
rodrigo rodrigo
turísticos turísticos
retornaram regresaron
saldanha velasco
divórcio divorcio
geográficas geográficas
institute institute
padrões estándares
determinado determinado
selvagem salvaje
atributos atributos
inteiros enteros
pensamentos pensamientos
coreano coreano
bretanha bretaña
voos vuelos
promocionais promocionales
mostrava mostraba
mostram muestran
budista budista
aguda aguda
fração fracción
pratos platos
apenas sólo
cantada cantada
modernos modernos
pacotes paquetes
resultante resultante
classificação clasificación
viajando viajando
salomão salomón
freddie freddie
defensiva defensiva
poder poder
dvd dvd
ambas ambas
matias matías
song song
coca coca
criminal criminal
nasa nasa
org/ org/
beethoven beethoven
maiden maiden
ea ea
viviam vivían
reagan reagan
desejava deseaba
uganda uganda
enciclopédica enciclopédica
específico específico
considerou consideró
organizou organizó
chen chen
brinquedos juguetes
registrada registrada
font font
tesoureiro tesorero
transmite transmite
derrotar derrotar
institucionais institucionales
permanente permanente
doação donación
simboliza simboliza
gravidade gravedad
artigo artículo
antologia antología
biologia biología
ferro hierro
on on
verbo verbo
batalha batalla
liga liga
little little
über über
coletivo colectivo
kurt kurt
greene greene
cópia copia
size size
diminuir disminuir
hip hip
liberal liberal
fabricação fabricación
jurídico jurídico
estaleiro astillero
colapso colapso
baixa baja
acima arriba
cinemas cines
costeira costera
dawn dawn
política política
cilindros cilindros
office office
meta meta
inventado inventado
hidrogênio hidrógeno
guardas guardias
atuar actuar
preferido preferido
expulsar expulsar
velho viejo
dinâmico dinámico
misterioso misterioso
tenta intenta
inglês inglés
sofreu sufrió
sofrimento sufrimiento
animation animation
matemático matemático
níveis niveles
milagres milagros
ferramentas herramientas
pascal pascal
combinação combinación
erroneamente erróneamente
julgamento juicio
volte vuelva
aéreas aéreas
natação natación
deram dieron
votar votar
dono dueño
positivas positivas
dramático dramático
madame madame
ralph ralph
indicador indicador
colina colina
fear fear
religiosos religiosos
vernon vernon
josef josef
cláudio claudio
cr cr
tantos tantos
best best
governamental gubernamental
bits bits
diferencial diferencial
incluídos incluidos
cumprimento cumplimiento
conserva conserva
challenger challenger
econômicos económicos
drive drive
school school
enfrentaram enfrentaron
sofreram sufrieron
executivos ejecutivos
pensão pensión
colunista columnista
perdido perdido
vitamina vitamina
piracicaba tucumán
missão misión
reduz reduce
procurador procurador
inocente inocente
especiais especiales
silésia silesia
condecoração condecoración
centenário centenario
deveria debería
armadura armadura
bala bala
sacerdotes sacerdotes
adaptado adaptado
heroes heroes
johnny eddie
colspan colspan
federation federation
sentido sentido
louco loco
frios fríos
intenção intención
reúnem reúnen
novidade novedad
medalha medalla
suicídio suicidio
fazê hacerlo
patas patas
casada casada
elfos elfos
significado significado
informática informática
unificado unificado
threatened threatened
tv tv
ricos ricos
supremo supremo
referenciado referenciado
investimentos inversiones
terremoto terremoto
jung jung
daria daría
sexual sexual
teriam habrían
laurent laurent
últimos últimos
levou llevó
objecto objeto
alves velásquez
dados datos
estranho extraño
obrigou obligó
monarcas monarcas
estações estaciones
dark dark
tomar tomar
revista revista
estrada carretera
rejeitado rechazado
na en
atari atari
identificados identificados
grito grito
louise louise
sally sally
corpos cuerpos
irregular irregular
tomada tomada
esmeralda esmeralda
certa cierta
vestidos vestidos
simon simon
burke burke
albert albert
expostos expuestos
ri ri
beverly beverly
colocado colocado
teorema teorema
república república
diagnóstico diagnóstico
cumprir cumplir
distinção distinción
mills mills
pearl pearl
variam varían
observado observado
acontecimento acontecimiento
isbn isbn
juventude juventud
primitivo primitivo
exemplos ejemplos
parâmetro parámetro
fictício ficticio
instrutor instructor
contemporâneos contemporáneos
ap ap
guardião guardián
corporação corporación
apresenta presenta
duração duración
ministra ministra
au au
delegado delegado
arqueologia arqueología
causas causas
ds ds
salva salva
europeia europea
fundamento fundamento
islândia islandia
lacerda durán
blu blu
regularmente regularmente
interações interacciones
babilônia babilonia
most most
responsáveis responsables
transtorno trastorno
cristãos cristianos
emília emilia
say say
intérpretes intérpretes
health health
exércitos ejércitos
habitual habitual
defensor defensor
mount mount
urbanas urbanas
libras libras
absolutamente absolutamente
aparecia aparecía
seine seine
drama drama
extrema extrema
relevantes relevantes
inevitável inevitable
rebelião rebelión
faith faith
ocupar ocupar
corais corales
encontramos encontramos
significativos significativos
mundialmente mundialmente
proclamou proclamó
id id
porquê porqué
indica indica
lance lance
outra otra
outros otros
ausência ausencia
yes yes
famosa famosa
fabricado fabricado
maxwell maxwell
fruta fruta
páscoa pascua
nat nat
temporariamente temporalmente
book book
entraram entraron
esportivas deportivas
expresso expreso
função función
tomo tomo
aves aves
cena escena
edwin edwin
ho ho
marcial marcial
cimento cemento
dedicada dedicada
surpresa sorpresa
biografia biografía
wave wave
atua desempeña
tna tna
joelho rodilla
bryan bryan
registros registros
consciência conciencia
constantemente constantemente
pd pd
recebe recibe
slam slam
sujeito sujeto
of of
assemelha asemeja
plus plus
identificado identificado
naval naval
gnu gnu
roteiro guion
beijo beso
gate gate
cuidar cuidar
escrita escrita
confederação confederación
menciona menciona
adaptações adaptaciones
botões botones
revelar revelar
secretos secretos
incluído incluido
justice justice
concentração concentración
tivessem hubieran
unidades unidades
russas rusas
paisagens paisajes
bônus bonus
acompanhamento acompañamiento
conseguir conseguir
kid kid
passado pasado
monopólio monopolio
localizam localizan
franklin franklin
visitante visitante
hispânia hispania
evidências evidencias
maratona maratón
dívida deuda
graduado graduado
jogando jugando
realismo realismo
bonaparte bonaparte
retornou regresó
anime anime
bacias cuencas
herbert herbert
westminster westminster
pecados pecados
angel angel
parte parte
camille camille
tristeza tristeza
áreas áreas
centrais centrales
comentários comentarios
francês francés
olímpica olímpica
laser láser
imaginário imaginario
vizinhos vecinos
álgebra álgebra
supervisor supervisor
recordings recordings
chapman chapman
cher cher
relatórios informes
escultura escultura
educação educación
girls girls
webb webb
kirk kirk
renda renta
genocídio genocidio
corporal corporal
thor thor
commons commons
computador ordenador
festival festival
ovo huevo
intelectuais intelectuales
vocalista vocalista
codificação codificación
homossexualidade homosexualidad
órgão órgano
fortalecer fortalecer
enviados enviados
ocorre ocurre
oceanos océanos
dividida dividida
tropicais tropicales
externas externos
ajudaram ayudaron
formar formar
tribuna tribuna
relatividade relatividad
jogadores jugadores
interesses intereses
pittsburgh pittsburgh
ocupados ocupados
inconsciente inconsciente
segundas segundas
johns johns
senador senador
levada llevada
biográfico biográfico
conferência conferencia
tell tell
finas finas
critérios criterios
katherine katherine
licenciou licenció
cabelo cabello
hindu hindú
robertogilnei ¿que
marinho marino
sra sra
bass bass
vieira soriano
ortodoxa ortodoxa
humano humano
exclusão exclusión
comercialização comercialización
estimativas estimaciones
ferido herido
formando formando
obrigações obligaciones
interpretação interpretación
ensinamentos enseñanzas
tornando convirtiéndose
japonesa japonesa
mm mm
official official
eliminada eliminada
biológica biológica
brasileira mexicana
dólar dólar
prefeito alcalde
cargas cargas
blair blair
before before
decadência decadencia
perfect perfect
relativa relativa
technology technology
baker baker
jogo juego
english english
únicas únicas
taxa tasa
sérvios serbios
dano daño
nu nu
ilusão ilusión
ciclo ciclo
favorável favorable
mês mes
canal canal
fortemente fuertemente
conquistar conquistar
frontal frontal
arroz arroz
mudado cambiado
harvard harvard
imperatriz emperatriz
atuação actuación
traição traición
dominante dominante
cooperação cooperación
fracasso fracaso
conflitos conflictos
ruas calles
aprendeu aprendió
row row
colunas columnas
arcanjo arcángel
rca rca
exigiu exigió
causado causado
kai kai
desenhos dibujos
correções correcciones
google google
império imperio
disponíveis disponibles
taxas tasas
gótico gótico
subdivisão subdivisión
frequentes frecuentes
sérgio norberto
height height
atendendo atendiendo
astronomia astronomía
reforços refuerzos
étnico étnico
falsos falsos
persas persas
nosso nuestro
rapidamente rápidamente
rosto rostro
igrejas iglesias
charles charles
eterno eterno
bombas bombas
testemunhas testigos
macedônia macedonia
team team
poderosa poderosa
representantes representantes
jeanne jeanne
remoto remoto
músicos músicos
hood hood
palácios palacios
cortar cortar
reside reside
concorrência competencia
sexo sexo
siena siena
half half
prevenir prevenir
diversos diversos
born born
aprovado aprobado
alien alien
alcançado alcanzado
deu dio
estou estoy
umas cuantas
desenvolvidos desarrollados
proximidade cercanía
visitado visitado
natalie natalie
esquadrão escuadrón
q q
ambiente ambiente
preservar preservar
funcional funcional
passar pasar
intelectual intelectual
manifestou manifestó
cerco asedio
comando mando
cronista cronista
curtos cortos
mortos muertos
depósitos depósitos
ródano ródano
aníbal aníbal
interessou interesó
teologia teología
alliance alliance
civilizações civilizaciones
obrigação obligación
habilidades habilidades
similares similares
ilegal ilegal
jackie jackie
própria propia
rítmica rítmica
ernest ernest
literalmente literalmente
amsterdam amsterdam
assinatura firma
discussões discusiones
salas salas
sólido sólido
convenção convención
calor calor
lesões lesiones
fechado cerrado
recinto recinto
flexibilidade flexibilidad
pública pública
designados designados
sérios serios
consecutivo consecutivo
wikipédia wikipedia
baron baron
oponente oponente
urso oso
celebrado celebrado
ilustrada ilustrada
afiliações artistas_relacionados
retirada retirada
elétricas eléctricas
operários obreros
popularidade popularidad
anual anual
senhora señora
cauda cola
obtidos obtenidos
zone zone
glass glass
candidatas candidatas
equipe equipo
universidade universidad
compacto compacto
games games
básicos básicos
reitor rector
importa importa
atlântica atlántica
clausura clausura
pesca pesca
alfredo alfredo
exposta expuesta
imigrantes inmigrantes
habitantes habitantes
descobertos descubiertos
fabricante fabricante
alternativo alternativo
divina divina
our our
concha concha
morning morning
impresso impreso
vinte veinte
french french
notação notación
compõe compone
apresentadora presentadora
transmitido transmitido
frequências frecuencias
gordo gordo
até hasta
faltam faltan
pais padres
moedas monedas
terminado terminado
democrata demócrata
jurídicas jurídicas
chocolate chocolate
great great
exceto excepto
criando creando
protocolos protocolos
patrocínio patrocinio
laços lazos
bomba bomba
satélite satélite
libertação liberación
livremente libremente
uefa uefa
agrária agraria
polônia polonia
ia iba
progressista progresista
marinhos marinos
grandeza grandeza
underground underground
amado amado
hansen hansen
filhos hijos
cameron cameron
romano romano
giuseppe giuseppe
mágico mágico
bayer bayer
celebração celebración
conformidade conformidad
último último
cobertos afroamericanos
tradicionais tradicionales
sk sk
kong kong
dublagem doblaje
veste viste
rival rival
services services
paraná chile
jornais periódicos
muçulmano musulmán
estádio estadio
botânica botánica
date date
labirinto laberinto
calais calais
existente existente
atentado atentado
pois pues
pensam piensan
cook cook
respeito respeto
competir competir
daquela aquella
football football
med med
ator actor
animada animada
afirmava afirmaba
enfrentar enfrentarse
anais anales
conhecem conocen
willy willy
perdão perdón
arco arco
oregon oregón
indígenas indígenas
veteranos veteranos
famosas famosas
chegou llegó
amplitude amplitud
diagrama diagrama
avenidas avenidas
utilizados utilizados
kentucky kentucky
iniciadas iniciadas
inscrição inscripción
eleição elección
gosta gusta
quantidade cantidad
defensores defensores
cúpula cúpula
relevo relieve
residenciais residenciales
exercido ejercido
constantino constantino
caído caído
elevadas elevadas
claude claude
inauguração inauguración
iugoslávia yugoslavia
aquáticos acuáticos
praticar practicar
contas cuentas
proponho propongo
acadêmicos académicos
espectro espectro
compositor compositor
partidas jugados
dividir dividir
lady lady
latitude latitud
podiam podían
resgatar rescatar
significa significa
diferente diferente
criativa creativa
flash flash
insuficiência insuficiencia
simpson simpson
ortografia ortografía
dígitos dígitos
nação nación
wayne wayne
bengala bengala
geologia geología
heroína heroína
movie movie
convidou invitó
my my
bosco bosco
reflexo reflejo
_ _
,q ,q
gravada grabada
artísticas artísticas
marion marion
demo demo
elizabeth elizabeth
im im
sacrifício sacrificio
alcança alcanza
portais portales
piedade piedad
nashville nashville
agências agencias
tensão tensión
vitórias victorias
ética ética
ossos huesos
afirmando afirmando
fiscal fiscal
noturna nocturna
facções facciones
adoção adopción
administrada administrada
aldo aldo
tribunal tribunal
luz luz
european european
sultão sultán
arcebispo arzobispo
referido referido
norman norman
medição medición
filmagem filmación
pictures pictures
doc doc
danças danzas
mouse mouse
jump jump
funções funciones
. .
inflorescência inflorescencia
abolição abolición
bad bad
seguidores seguidores
horário horario
comunicado comunicado
negros negros
heidelberg heidelberg
romana romana
ecológica ecológica
restrições restricciones
subir subir
indivíduo individuo
esquerdo izquierdo
igualmente igualmente
moeda moneda
parques parques
sério serio
explorar explorar
lobos lobos
micro micro
how how
álvaro ramón
doutor doctor
cubana cubana
doutrina doctrina
holandês holandés
ilha isla
membro miembro
bielorrússia bielorrusia
portalegre jaén
aniversário aniversario
liu liu
artísticos artísticos
assist assist
literárias literarias
cessar cese
wikis wikis
invadiu invadió
duncan duncan
project project
garganta garganta
davies davies
poeira polvo
salão salón
governamentais gubernamentales
emérito emérito
acontecimentos acontecimientos
prestar prestar
ford ford
águia águila
denominados denominados
provisório provisional
rights rights
luzes luces
recurso recurso
primeiramente primeramente
pages pages
antagonista antagonista
concluiu concluyó
crise crisis
realização realización
humilde humilde
habitada habitada
localizada ubicada
take take
terços tercios
componente componente
ideias ideas
introduzida introducida
métodos métodos
correspondente correspondiente
nacional nacional
controvérsia controversia
fósseis fósiles
recepção recepción
procissão procesión
inovações innovaciones
esquecido olvidado
surgir surgir
taxonomic taxonomic
formato formato
programa programa
suficiente suficiente
comportamentos comportamientos
superior superior
alsácia alsacia
versus versus
une une
mistérios misterios
semana semana
turner turner
sport sport
territoriais territoriales
referem refieren
aspecto aspecto
mérito mérito
hard hard
surge surge
trabalhista laborista
freddy freddy
limitação limitación
promoveu promovió
nina nina
gravou grabó
elaborou elaboró
demorou tardó
prometeu prometió
américas américas
body body
destinada destinada
lava lava
spring spring
brigadeiro brigadier
essência esencia
solene solemne
very very
produtor productor
parecida parecida
chipre chipre
lagarto lagarto
sentidos sentidos
vitória victoria
navegador navegador
popular popular
two two
inclusive inclusive
dirigida dirigida
planeja planea
acordo acuerdo
imaginação imaginación
incerteza incertidumbre
fotos fotos
escritas escritas
bridge bridge
silver silver
oportunidade oportunidad
soul soul
through through
progresso progreso
tirar sacar
contemporâneas contemporáneas
componentes componentes
permanecer permanecer
autora autora
divididos divididos
patente patente
cometa cometa
cobrindo cubriendo
mapa mapa
suposta supuesta
podemos podemos
punk punk
dionísio dionisio
terminal terminal
sombras sombras
express express
gustav gustav
mercury mercury
culpado culpable
importância importancia
autônomo autónomo
ne ne
permitir permitir
dispositivo dispositivo
bloqueado bloqueado
march march
ah ah
teatrais teatrales
difusão difusión
culturais culturales
pernas piernas
contabilidade contabilidad
emi emi
ua ua
frank frank
fundado fundado
pac pac
filtro filtro
demonstrando demostrando
alimentos alimentos
country country
balas balas
responsabilidade responsabilidad
realizado realizado
hércules hércules
dispersão dispersión
roubar robar
anistia amnistía
lista lista
procurado buscado
saída salida
visibilidade visibilidad
constelação constelación
ferramenta herramienta
cobrir cubrir
licenças licencias
car car
estando estando
aplicando aplicando
nações naciones
quarto cuarto
eletrônica electrónica
fundar fundar
sujeitos sujetos
justin justin
joseph joseph
automobilismo automovilismo
all all
etnia etnia
dor dolor
golpe golpe
projeto proyecto
provença provenza
sente siente
especializados especializados
traçado trazado
borges lozano
vir venir
completa completa
defesas defensas
desaparecido desaparecido
artefatos artefactos
terminando terminando
moda moda
guarda guardia
filmografia filmografía
celular celular
extinto extinto
anarquismo anarquismo
brevemente brevemente
alcançando alcanzando
atmosférica atmosférica
lançam lanzan
afirmar afirmar
roll roll
invasores invasores
declararam declararon
substituir sustituir
restrição restricción
australian australian
tumor tumor
necessita necesita
mágica mágica
publicamente públicamente
beth beth
servidores servidores
hms hms
fonte fuente
tentaram intentaron
ensina enseña
midnight midnight
enviado enviado
semanas semanas
contos cuentos
j j
fundamentos fundamentos
controla controla
entendido entendido
homossexual homosexual
espectadores espectadores
wolf wolf
congregação congregación
fc fc
sol sol
acabei acabo
minorias minorías
experimental experimental
argumentos argumentos
princeton princeton
ler leer
duque duque
ferroviário ferroviario
carey carey
doces dulces
domínio dominio
dúvidas dudas
destaca destaca
senegal senegal
doi doi
esclarecer aclarar
call call
financiar financiar
itunes itunes
sherman sherman
anarquista anarquista
cliente cliente
medo miedo
discriminação discriminación
imigração inmigración
leoa leona
capitania capitanía
ajuda ayuda
griffin griffin
comprimento longitud
profundamente profundamente
liberty liberty
sei sé
decoração decoración
trazer traer
comer comer
convidado invitado
info info
elvis elvis
derrotada derrotada
complexa compleja
ivan iván
abelhas abejas
tate tate
esperanças esperanzas
cap cap
secas secas
aceitar aceptar
secreto secreto
publicidade publicidad
lost lost
manhã mañana
escuro oscuro
perto cerca
letra letra
madeira madera
procedimentos procedimientos
casamento matrimonio
marcel marcel
etapas etapas
disponibilidade disponibilidad
interview interview
internacionais internacionales
que que
cobre cobre
estimado estimado
socialista socialista
xadrez ajedrez
lisboa madrid
contínuo continuo
filial filial
livro libro
carros coches
john john
paróquias parroquias
racing racing
inspirou inspiró
solo solitario
distância distancia
estes estos
primos primos
guias guías
privada privada
placa placa
apresentava presentaba
combates combates
lavagem lavado
sátira sátira
iêmen yemen
positiva positiva
variados variados
honra honor
auxiliares auxiliares
ensinar enseñar
curtis curtis
next next
perna pierna
faculdades facultades
vantagens ventajas
aria aria
terminada terminada
transcrição transcripción
pulmão pulmón
notoriedade relevancia
julius julius
lou lou
louis louis
superiores superiores
suprimentos suministros
honras honores
archive archive
cultivo cultivo
olhos ojos
tony tony
saber saber
características características
caçador cazador
cônjuge cónyuge
max max
pilares pilares
columbus columbus
mito mito
evento evento
político político
votação votación
autónoma autónoma
ampla amplia
nascem nacen
viseu palencia
assunto asunto
modalidade modalidad
agricultores agricultores
obter obtener
famosos famosos
hello hello
outubro noviembre
ocupando ocupando
legislativo legislativo
laboratório laboratorio
motivos motivos
deles ellos
inaugurada inaugurada
you you
mind mind
cruzado cruzado
auto auto
protetor protector
morte muerte
denominações denominaciones
custo costo
adaptada adaptada
possuía poseía
hector hector
saco saco
lhe le
residência residencia
nome nombre
banda banda
também también
neve nieve
conmebol conmebol
descreve describe
bem bien
federação federación
tomate tomate
combate combate
neo neo
diretora directora
wta wta
terminou finalizó
liceu liceo
but but
editados editados
linda linda
cantor cantautor
raro raro
apocalipse apocalipsis
formavam formaban
passando pasando
mostra muestra
angela angela
consistia consistía
árvore árbol
jesus jesús
jazz jazz
dúvida duda
corresponde corresponde
trabalha trabaja
thunder thunder
arquitetura arquitectura
dinheiro dinero
sido sido
romanos romanos
propriedades propiedades
fortuna fortuna
aposentado retirado
alt alt
gasto gasto
península península
ocean ocean
elaborada elaborada
drew drew
sacro sacro
sexos sexos
khan khan
blood blood
coroa corona
frente delante
bull bull
child child
vamos vamos
legalmente legalmente
lisa lisa
móveis móviles
cv cv
autorizado autorizado
ordem orden
alive alive
sítio sitio
utc+ utc+
fontes fuentes
índico índico
votado votado
minha mi
nutrientes nutrientes
deusa diosa
imediações inmediaciones
vários varios
bruto bruto
perdas pérdidas
dc dc
pirâmide pirámide
traduziu tradujo
bmw bmw
protestante protestante
ofensiva ofensiva
vestígios vestigios
literário literario
tuberculose tuberculosis
economista economista
narra narra
earl earl
governar gobernar
// //
claire claire
auditório auditorio
dentro dentro
franceses franceses
dançando bailando
paciente paciente
manutenção mantenimiento
boom boom
than than
argumento argumento
armando armando
sódio sodio
dora dora
lúcio lucio
duquesa duquesa
rodeado rodeado
jerry larry
vital vital
integram integran
fé fe
santos vélez
delgada cádiz
bb bb
real real
turquia turquía
ajudam ayudan
contar contar
nucleares nucleares
escocesa escocesa
demétrio demetrio
editou editó
obtido obtenido
got got
dominação dominación
cuidado cuidado
companheira compañera
terrível terrible
geometria geometría
permitem permiten
obtém obtiene
estariam estarían
kill kill
shortsummary resumenbreve
histórico histórico
diabo diablo
adjunto adjunto
inocência inocencia
entregou entregó
acordos acuerdos
aparecer aparecer
iluminação iluminación
encontrada encontrada
acesso acceso
estabelecida establecida
torres torres
herdeiro heredero
correio correo
antoine antoine
utilizou utilizó
mb mb
trabalhou trabajó
fecha cierra
sm sm
acabar acabar
infanta infanta
cinema cine
cartão tarjeta
duzentos doscientos
caminho camino
habsburgo habsburgo
rato ratón
sinônimos sinónimos
risco riesgo
anders anders
essencialmente esencialmente
saídas salidas
operacionais operativos
lituânia lituania
derivados derivados
sentimento sentimiento
carne carne
diretos directos
basketball basketball
big big
músico músico
doutrinas doctrinas
submarino submarino
sob bajo
re re
aparelho aparato
fui fui
niterói paraná
interessado interesado
front front
florence florence
representações representaciones
aqueles aquellos
conhecidas conocidas
criação creación
gravação grabación
índias indias
